,Model_ID,Model_Name,Filename
218,NMLCL000297,Layer 2/3 Burst Non-accommodating Bitufted Cell (1),bNAC219_L23_BTC_07c7c10a30_0_0
219,NMLCL000298,Layer 2/3 Burst Non-accommodating Bitufted Cell (2),bNAC219_L23_BTC_08c8d4004b_0_0
220,NMLCL000299,Layer 2/3 Burst Non-accommodating Bitufted Cell (3),bNAC219_L23_BTC_38a5da4025_0_0
221,NMLCL000300,Layer 2/3 Burst Non-accommodating Bitufted Cell (4),bNAC219_L23_BTC_62b9f5e9f6_0_0
222,NMLCL000301,Layer 2/3 Burst Non-accommodating Bitufted Cell (5),bNAC219_L23_BTC_f83ba90238_0_0
223,NMLCL000302,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (1),bNAC219_L23_DBC_1441fd5669_0_0
224,NMLCL000303,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (2),bNAC219_L23_DBC_4c3b81ee8f_0_0
225,NMLCL000304,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (3),bNAC219_L23_DBC_8b03af6e83_0_0
226,NMLCL000305,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (4),bNAC219_L23_DBC_c9af6970b4_0_0
227,NMLCL000306,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (5),bNAC219_L23_DBC_f7a3d54a01_0_0
228,NMLCL000307,Layer 2/3 Burst Non-accommodating Large Basket Cell (1),bNAC219_L23_LBC_91044b50b3_0_0
229,NMLCL000308,Layer 2/3 Burst Non-accommodating Large Basket Cell (2),bNAC219_L23_LBC_936c35a9e1_0_0
230,NMLCL000309,Layer 2/3 Burst Non-accommodating Large Basket Cell (3),bNAC219_L23_LBC_97118d2391_0_0
231,NMLCL000310,Layer 2/3 Burst Non-accommodating Large Basket Cell (4),bNAC219_L23_LBC_b35128281c_0_0
232,NMLCL000311,Layer 2/3 Burst Non-accommodating Large Basket Cell (5),bNAC219_L23_LBC_fe2122c75c_0_0
233,NMLCL000312,Layer 2/3 Burst Non-accommodating Martinotti Cell (1),bNAC219_L23_MC_31f333a601_0_0
234,NMLCL000313,Layer 2/3 Burst Non-accommodating Martinotti Cell (2),bNAC219_L23_MC_44b474bb8f_0_0
235,NMLCL000314,Layer 2/3 Burst Non-accommodating Martinotti Cell (3),bNAC219_L23_MC_55e4a7c88f_0_0
236,NMLCL000315,Layer 2/3 Burst Non-accommodating Martinotti Cell (4),bNAC219_L23_MC_940ffcbb27_0_0
